,image_path,age,age_category,class,gender,ethnicity
0,40_0_3_20170109003040502.jpg.chip.jpg,40,"(30, 45]",5,0,3.0
1,28_1_3_20170104222837663.jpg.chip.jpg,28,"(20, 30]",4,1,3.0
2,6_1_0_20170109201856463.jpg.chip.jpg,6,"(5, 10]",1,1,0.0
3,50_0_3_20170119205528760.jpg.chip.jpg,50,"(45, 60]",6,0,3.0
4,39_1_3_20170104223518221.jpg.chip.jpg,39,"(30, 45]",5,1,3.0
5,36_1_1_20170116174213892.jpg.chip.jpg,36,"(30, 45]",5,1,1.0
6,37_0_2_20170117140013545.jpg.chip.jpg,37,"(30, 45]",5,0,2.0
7,62_0_1_20170113175129604.jpg.chip.jpg,62,"(60, 100]",7,0,1.0
8,4_1_0_20170109193813519.jpg.chip.jpg,4,"(0, 5]",0,1,0.0
9,28_1_1_20170112204611851.jpg.chip.jpg,28,"(20, 30]",4,1,1.0
10,38_1_1_20170116160301002.jpg.chip.jpg,38,"(30, 45]",5,1,1.0
11,82_0_2_20170111210612356.jpg.chip.jpg,82,"(60, 100]",7,0,2.0
12,5_0_1_20170110213654372.jpg.chip.jpg,5,"(0, 5]",0,0,1.0
13,17_0_1_20170114025858837.jpg.chip.jpg,17,"(15, 20]",3,0,1.0
14,8_0_0_20170110220124291.jpg.chip.jpg,8,"(5, 10]",1,0,0.0
15,55_0_3_20170119171327855.jpg.chip.jpg,55,"(45, 60]",6,0,3.0
16,29_0_2_20170116163545392.jpg.chip.jpg,29,"(20, 30]",4,0,2.0
17,54_0_0_20170117155530206.jpg.chip.jpg,54,"(45, 60]",6,0,0.0
18,65_1_3_20170119202621117.jpg.chip.jpg,65,"(60, 100]",7,1,3.0
19,8_1_0_20170109204756399.jpg.chip.jpg,8,"(5, 10]",1,1,0.0
20,30_0_0_20170117003435100.jpg.chip.jpg,30,"(20, 30]",4,0,0.0
21,30_0_1_20170113134204447.jpg.chip.jpg,30,"(20, 30]",4,0,1.0
22,67_0_0_20170112205632732.jpg.chip.jpg,67,"(60, 100]",7,0,0.0
23,19_0_0_20170116212106328.jpg.chip.jpg,19,"(15, 20]",3,0,0.0
24,39_0_0_20170112215032192.jpg.chip.jpg,39,"(30, 45]",5,0,0.0
25,56_0_3_20170105180725694.jpg.chip.jpg,56,"(45, 60]",6,0,3.0
26,16_0_0_20170110231529568.jpg.chip.jpg,16,"(15, 20]",3,0,0.0
27,40_0_0_20170109012159348.jpg.chip.jpg,40,"(30, 45]",5,0,0.0
28,43_1_3_20170119204557143.jpg.chip.jpg,43,"(30, 45]",5,1,3.0
29,57_1_0_20170110120803050.jpg.chip.jpg,57,"(45, 60]",6,1,0.0
30,7_1_0_20170109200933192.jpg.chip.jpg,7,"(5, 10]",1,1,0.0
31,37_0_1_20170116214356844.jpg.chip.jpg,37,"(30, 45]",5,0,1.0
32,45_1_0_20170103163311263.jpg.chip.jpg,45,"(30, 45]",5,1,0.0
33,36_1_0_20170103183426794.jpg.chip.jpg,36,"(30, 45]",5,1,0.0
34,54_0_3_20170119210231791.jpg.chip.jpg,54,"(45, 60]",6,0,3.0
35,30_1_0_20170116214239576.jpg.chip.jpg,30,"(20, 30]",4,1,0.0
36,47_0_1_20170117021247110.jpg.chip.jpg,47,"(45, 60]",6,0,1.0
37,44_0_1_20170117172018631.jpg.chip.jpg,44,"(30, 45]",5,0,1.0
